Title,URL,Description,Level,Status,Review,Tags,Slugs
Financial Markets,https://www.coursera.org/learn/financial-markets-global,"Financial Markets free Course by Yale University, by 4.8 stars, by 27K reviews, provide skills Finance, Investment Management, Risk Management etc... Beginner level 1 - 3 Months",Beginner,Paid,4.8,"Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",financial markets finance investment management risk management banking behavioral economics critical thinking decision making financial analysis innovation regulations and compliance leadership and management beginner
Análisis de Datos de Google,https://www.coursera.org/professional-certificates/analisis-de-datos-de-google,"Análisis de Datos de Google Professional Certificate by Google, by 4.8 stars, by 7.9K reviews, provide skills Data Analysis, Data Management, Databases etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Data Analysis, Data Management, Databases, Exploratory Data Analysis, Data Visualization, SQL, Business Analysis, Microsoft Excel, Process Analysis, Statistical Programming, Data Structures, Extract, Transform, Load, Spreadsheet Software, Communication, Computer Programming, Problem Solving, Strategy, Visualization (Computer Graphics), Organizational Development, People Analysis, Tableau Software, Data Analysis Software, Plot (Graphics), Programming Principles, R Programming, Strategy and Operations, Research and Design, Business Communication, Computer Programming Tools, Computer Graphics, Data Model, Security Engineering, System Security",análisis de datos de google data analysis data management databases exploratory data analysis data visualization sql business analysis microsoft excel process analysis statistical programming data structures extract transform load spreadsheet software communication computer programming problem solving strategy visualization (computer graphics) organizational development people analysis tableau software data analysis software plot (graphics) programming principles r programming strategy and operations research and design business communication computer programming tools computer graphics data model security engineering system security beginner
SAP Technology Consultant,https://www.coursera.org/professional-certificates/sap-technology-consultant,"SAP Technology Consultant Professional Certificate by SAP, by 4.7 stars, by 638 reviews, provide skills Leadership and Management, Strategy and Operations, Cloud-Based Integration etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Leadership and Management, Strategy and Operations, Cloud-Based Integration, Business Analysis, Business Transformation, Business Process Management, Cloud Applications, Strategy, Customer Analysis, Planning, Project Management, Business Intelligence, Software As A Service, Supply Chain and Logistics, Cloud Standards, Cloud Computing, Network Architecture, Software Architecture, System Software, Communication",sap technology consultant leadership and management strategy and operations cloud-based integration business analysis business transformation business process management cloud applications strategy customer analysis planning project management business intelligence software as a service supply chain and logistics cloud standards cloud computing network architecture software architecture system software communication beginner
IBM Machine Learning,https://www.coursera.org/professional-certificates/ibm-machine-learning,"IBM Machine Learning Professional Certificate by IBM, by 4.6 stars, by 2.1K reviews, provide skills Machine Learning, Machine Learning Algorithms, Human Learning etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.6,"Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Deep Learning, General Statistics, Python Programming, Regression, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Reinforcement Learning, Data Model, Databases, Network Model, Tensorflow",ibm machine learning machine learning machine learning algorithms human learning statistical machine learning data analysis probability  statistics applied machine learning algorithms forecasting statistical analysis deep learning general statistics python programming regression machine learning software artificial neural networks exploratory data analysis feature engineering correlation and dependence dimensionality reduction statistical tests reinforcement learning data model databases network model tensorflow intermediate
Microsoft 365 Fundamentals,https://www.coursera.org/specializations/microsoft-365-fundamentals,"Microsoft 365 Fundamentals Specialization by Microsoft, by 4.7 stars, by 3K reviews, provide skills Visual Design, Communication, Microsoft Excel etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Visual Design, Communication, Microsoft Excel, Data Visualization, Interactive Data Visualization, Spreadsheet Software, Computer Graphics, Critical Thinking, Data Analysis, Visualization (Computer Graphics), Business Communication, Collaboration, Data Model, Computer Graphic Techniques, Research and Design, Statistical Visualization, User Experience Design, Writing, Accounting, Data Analysis Software, Graphic Design, Databases, Marketing Design, Product Design, Leadership and Management",microsoft 365 fundamentals visual design communication microsoft excel data visualization interactive data visualization spreadsheet software computer graphics critical thinking data analysis visualization (computer graphics) business communication collaboration data model computer graphic techniques research and design statistical visualization user experience design writing accounting data analysis software graphic design databases marketing design product design leadership and management beginner
Advanced Learning Algorithms,https://www.coursera.org/learn/advanced-learning-algorithms,"Advanced Learning Algorithms Course by DeepLearning.AI, Stanford University, by 4.9 stars, by 4.8K reviews, provide skills Applied Machine Learning, Machine Learning, Machine Learning Algorithms etc... Beginner level 1 - 4 Weeks",Beginner,Paid,4.9,"Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Python Programming",advanced learning algorithms applied machine learning machine learning machine learning algorithms algorithms artificial neural networks deep learning network model tensorflow machine learning software python programming beginner
Excel Skills for Business,https://www.coursera.org/specializations/excel,"Excel Skills for Business Specialization by Macquarie University, by 4.9 stars, by 59K reviews, provide skills Spreadsheet Software, Business Analysis, Microsoft Excel etc... Beginner level 3 - 6 Months",Beginner,Paid,4.9,"Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management",excel skills for business spreadsheet software business analysis microsoft excel data analysis plot (graphics) data visualization data model databases finance leadership and management beginner
IBM Introduction to Machine Learning,https://www.coursera.org/specializations/ibm-intro-machine-learning,"IBM Introduction to Machine Learning Specialization by IBM, by 4.6 stars, by 2K reviews, provide skills Machine Learning, Machine Learning Algorithms, Algorithms etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.6,"Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Data Model, Statistical Tests, Databases",ibm introduction to machine learning machine learning machine learning algorithms algorithms statistical machine learning human learning probability  statistics applied machine learning data analysis regression general statistics python programming feature engineering machine learning software exploratory data analysis dimensionality reduction statistical analysis data model statistical tests databases intermediate
"JavaScript Programming with React, Node & MongoDB",https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,"JavaScript Programming with React, Node & MongoDB new Specialization by IBM, by 4.4 stars, by 613 reviews, provide skills Javascript, Web Development, Computer Programming etc... Beginner level 3 - 6 Months",Beginner,Paid,4.4,"Javascript, Web Development, Computer Programming, Computer Science, Front-End Web Development, NoSQL, React (web framework)",javascript programming with react node  mongodb javascript web development computer programming computer science front-end web development nosql react (web framework) beginner
Microsoft Cybersecurity Analyst,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,"Microsoft Cybersecurity Analyst Professional Certificate by Microsoft, by 4.7 stars, by 898 reviews, provide skills Cloud Computing, Computer Architecture, Data Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Cloud Computing, Computer Architecture, Data Management, Leadership and Management, Microsoft Azure, Network Security, Operating Systems, System Security",microsoft cybersecurity analyst cloud computing computer architecture data management leadership and management microsoft azure network security operating systems system security beginner
Preparing for Google Cloud Certification: Cloud Architect,https://www.coursera.org/professional-certificates/gcp-cloud-architect,"Preparing for Google Cloud Certification: Cloud Architect Professional Certificate by Google Cloud, by 4.7 stars, by 58K reviews, provide skills Google Cloud Platform, Cloud Computing, Cloud Engineering etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.7,"Google Cloud Platform, Cloud Computing, Cloud Engineering, Cloud Applications, Cloud Platforms, Cloud Management, Computer Architecture, Cloud Infrastructure, Critical Thinking, Billing & Invoicing, Cloud Storage, Cloud-Based Integration, Computer Networking, Google App Engine, Kubernetes, Devops Tools, Network Architecture, Computer Programming, Cloud API, Computer Security Models, Leadership and Management, Operational Analysis, Software Testing, Microarchitecture",preparing for google cloud certification cloud architect google cloud platform cloud computing cloud engineering cloud applications cloud platforms cloud management computer architecture cloud infrastructure critical thinking billing  invoicing cloud storage cloud-based integration computer networking google app engine kubernetes devops tools network architecture computer programming cloud api computer security models leadership and management operational analysis software testing microarchitecture intermediate
Workday Basics Series,https://www.coursera.org/learn/workday-basics-series,,,Paid,,,
The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking,"The Bits and Bytes of Computer Networking Course by Google, by 4.7 stars, by 47K reviews, provide skills Computer Networking, Network Architecture, Network Model etc... Beginner level 1 - 3 Months",Beginner,Paid,4.7,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing",the bits and bytes of computer networking computer networking network architecture network model networking hardware network analysis critical thinking problem solving computer architecture human computer interaction network security cloud computing beginner
Connect and Protect: Networks and Network Security,https://www.coursera.org/learn/networks-and-network-security,"Connect and Protect: Networks and Network Security Course by Google, by 4.8 stars, by 3.1K reviews, provide skills Network Security, Cloud Computing, Network Architecture etc... Beginner level 1 - 4 Weeks",Beginner,Paid,4.8,"Network Security, Cloud Computing, Network Architecture",connect and protect networks and network security network security cloud computing network architecture beginner
IBM Product Manager,https://www.coursera.org/professional-certificates/ibm-product-manager,"IBM Product Manager new Professional Certificate by SkillUp EdTech, IBM, by 4.8 stars, by 1.6K reviews, provide skills Software Engineering, Agile Software Development, Scrum (Software Development) etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Software Engineering, Agile Software Development, Scrum (Software Development), Communication, Leadership Development, Leadership and Management, Product Development, Product Lifecycle, Product Management, Product Strategy",ibm product manager software engineering agile software development scrum (software development) communication leadership development leadership and management product development product lifecycle product management product strategy beginner
Indigenous Canada,https://www.coursera.org/learn/indigenous-canada,"Indigenous Canada free Course by University of Alberta, by 4.8 stars, by 22K reviews, provide skills Critical Thinking etc... Mixed level 1 - 3 Months",All,Paid,4.8,Critical Thinking,indigenous canada critical thinking all
Preparing for Google Cloud Certification: Cloud Engineer,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,"Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate by Google Cloud, by 4.7 stars, by 58K reviews, provide skills Cloud Computing, Google Cloud Platform, Cloud Platforms etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.7,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Computer Architecture, Cloud Applications, Cloud Engineering, Cloud Storage, Computer Networking, Cloud Management, Google App Engine, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Computer Programming Tools, Computer Programming, Network Architecture, Billing & Invoicing, Cloud API, Web Development, Leadership and Management, Microarchitecture",preparing for google cloud certification cloud engineer cloud computing google cloud platform cloud platforms computer architecture cloud applications cloud engineering cloud storage computer networking cloud management google app engine kubernetes cloud infrastructure cloud-based integration computer programming tools computer programming network architecture billing  invoicing cloud api web development leadership and management microarchitecture intermediate
Neural Networks and Deep Learning,https://www.coursera.org/learn/neural-networks-deep-learning,"Neural Networks and Deep Learning Course by DeepLearning.AI, by 4.9 stars, by 121K reviews, provide skills Artificial Neural Networks, Deep Learning, Machine Learning etc... Intermediate level 1 - 4 Weeks",Intermediate,Paid,4.9,"Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computer Programming, Network Model, Calculus, Human Learning, Regression, Linear Algebra, Mathematics",neural networks and deep learning artificial neural networks deep learning machine learning machine learning algorithms python programming computer programming network model calculus human learning regression linear algebra mathematics intermediate
Gestión de Proyectos de Google,https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google,"Gestión de Proyectos de Google Professional Certificate by Google, by 4.9 stars, by 7.1K reviews, provide skills Leadership and Management, Project Management, Strategy and Operations etc... Beginner level 3 - 6 Months",Beginner,Paid,4.9,"Leadership and Management, Project Management, Strategy and Operations, Organizational Development, Planning, Strategy, Collaboration, Communication, Adaptability, Change Management, Critical Thinking, Media Strategy & Planning, Process Analysis, Probability & Statistics, Risk Management, Scrum (Software Development), Agile Software Development, Budget Management, Natural Language Processing, Product Management, Search Engine Optimization, Business Communication, Interactive Data Visualization, Product Development, Estimation, Software Engineering, Supply Chain and Logistics",gestión de proyectos de google leadership and management project management strategy and operations organizational development planning strategy collaboration communication adaptability change management critical thinking media strategy  planning process analysis probability  statistics risk management scrum (software development) agile software development budget management natural language processing product management search engine optimization business communication interactive data visualization product development estimation software engineering supply chain and logistics beginner
Architecting with Google Compute Engine,https://www.coursera.org/specializations/gcp-architecture,"Architecting with Google Compute Engine Specialization by Google Cloud, by 4.7 stars, by 57K reviews, provide skills Cloud Applications, Cloud Computing, Cloud Infrastructure etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.7,"Cloud Applications, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Platforms, Cloud-Based Integration, Computer Networking, Computer Programming, Google Cloud Platform, Network Architecture, Cloud Storage, Google App Engine, Leadership and Management, Kubernetes",architecting with google compute engine cloud applications cloud computing cloud infrastructure cloud management cloud platforms cloud-based integration computer networking computer programming google cloud platform network architecture cloud storage google app engine leadership and management kubernetes intermediate
Google Marketing Digital e E-Commerce,https://www.coursera.org/professional-certificates/certificado-de-carrera-de-google-marketing-digital-e-e-commerce,"Google Marketing Digital e E-Commerce Professional Certificate by Google, by 4.9 stars, by 1.6K reviews, provide skills E-Commerce, Marketing, Search Engine Optimization etc... Beginner level 3 - 6 Months",Beginner,Paid,4.9,"E-Commerce, Marketing, Search Engine Optimization, Strategy",google marketing digital e e-commerce e-commerce marketing search engine optimization strategy beginner
"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,"Python for Data Science, AI & Development Course by IBM, by 4.6 stars, by 35K reviews, provide skills Python Programming, Computer Programming, Data Analysis etc... Beginner level 1 - 3 Months",Beginner,Paid,4.6,"Python Programming, Computer Programming, Data Analysis",python for data science ai  development python programming computer programming data analysis beginner
AWS Cloud Technology Consultant,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,"AWS Cloud Technology Consultant new Professional Certificate by Amazon Web Services, by 4.8 stars, by 4.8K reviews, provide skills Amazon Web Services, Cloud API, Cloud Computing etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development",aws cloud technology consultant amazon web services cloud api cloud computing cloud infrastructure cloud storage continuous integration customer support data analysis data architecture devops information technology project management python programming software architecture software testing strategy web development beginner
Digital Marketing,https://www.coursera.org/specializations/digital-marketing,"Digital Marketing Specialization by University of Illinois at Urbana-Champaign, by 4.7 stars, by 22K reviews, provide skills Digital Marketing, Marketing, Market Analysis etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Digital Marketing, Marketing, Market Analysis, Media Strategy & Planning, Social Media, Data Analysis, Market Research, Advertising, Communication, Customer Relationship Management, Strategy, Business Analysis, Data Visualization, Exploratory Data Analysis, Data Management, Brand Management, Marketing Management, Data Analysis Software, Decision Making, Marketing Design, Critical Thinking, Process Analysis, Business Communication, Business Transformation, Interactive Data Visualization, Collaboration, Innovation, Planning",digital marketing digital marketing marketing market analysis media strategy  planning social media data analysis market research advertising communication customer relationship management strategy business analysis data visualization exploratory data analysis data management brand management marketing management data analysis software decision making marketing design critical thinking process analysis business communication business transformation interactive data visualization collaboration innovation planning beginner
AI Product Management,https://www.coursera.org/specializations/ai-product-management-duke,"AI Product Management Specialization by Duke University, by 4.7 stars, by 435 reviews, provide skills Machine Learning, Machine Learning Algorithms, Applied Machine Learning etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",ai product management machine learning machine learning algorithms applied machine learning probability  statistics regression design and product human computer interaction communication human factors (security) human learning user experience user experience design data analysis data mining deep learning project management algorithms data science leadership and management beginner
Prepare Data for Exploration,https://www.coursera.org/learn/data-preparation,"Prepare Data for Exploration Course by Google, by 4.8 stars, by 19K reviews, provide skills Data Management, Data Analysis, Databases etc... Beginner level 1 - 3 Months",Beginner,Paid,4.8,"Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software",prepare data for exploration data management data analysis databases microsoft excel sql spreadsheet software beginner
Project Planning: Putting It All Together,https://www.coursera.org/learn/project-planning-google,"Project Planning: Putting It All Together Course by Google, by 4.8 stars, by 11K reviews, provide skills Project Management, Strategy and Operations, Leadership and Management etc... Beginner level 1 - 3 Months",Beginner,Paid,4.8,"Project Management, Strategy and Operations, Leadership and Management, Entrepreneurship, Finance, Planning, Supply Chain and Logistics, Budget Management, Communication, Risk Management, Procurement",project planning putting it all together project management strategy and operations leadership and management entrepreneurship finance planning supply chain and logistics budget management communication risk management procurement beginner
Graphic Design,https://www.coursera.org/specializations/graphic-design,"Graphic Design Specialization by California Institute of the Arts, by 4.7 stars, by 20K reviews, provide skills Graphic Design, Design and Product, Visual Design etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Graphic Design, Design and Product, Visual Design, Communication, Computer Graphic Techniques, Computer Graphics, Creativity, Visualization (Computer Graphics), Geometry, Interactive Design",graphic design graphic design design and product visual design communication computer graphic techniques computer graphics creativity visualization (computer graphics) geometry interactive design beginner
Attract and Engage Customers with Digital Marketing,https://www.coursera.org/learn/attract-and-engage-customers,"Attract and Engage Customers with Digital Marketing Course by Google, by 4.8 stars, by 4.8K reviews, provide skills Digital Marketing, Marketing, Search Engine Optimization etc... Beginner level 1 - 4 Weeks",Beginner,Paid,4.8,"Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools",attract and engage customers with digital marketing digital marketing marketing search engine optimization marketing management advertising media strategy  planning persona research web design web development web development tools beginner
Leading the Modern Day Business,https://www.coursera.org/specializations/leading-modern-day-business,"Leading the Modern Day Business Specialization by University of Virginia, BCG, by 4.7 stars, by 19K reviews, provide skills Leadership and Management, Strategy and Operations, Entrepreneurship etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Leadership and Management, Strategy and Operations, Entrepreneurship, Marketing, Sales, Strategy, Business Analysis, Business Transformation, Product Management, Business Process Management, Creativity, Innovation, Planning, Product Strategy, Storytelling",leading the modern day business leadership and management strategy and operations entrepreneurship marketing sales strategy business analysis business transformation product management business process management creativity innovation planning product strategy storytelling beginner
Search Engine Optimization (SEO),https://www.coursera.org/specializations/seo,"Search Engine Optimization (SEO) Specialization by University of California, Davis, by 4.6 stars, by 12K reviews, provide skills Marketing, Search Engine Optimization, Digital Marketing etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Marketing, Search Engine Optimization, Digital Marketing, Strategy, Social Media, User Experience, Customer Analysis, Media Strategy & Planning, User Research, Web Development, Market Analysis, Data Analysis, Market Research, Marketing Management, Marketing Psychology, User Experience Design, Web Development Tools, Algorithms, Brand Management, Communication, Critical Thinking, Influencing, Audit, Writing, Web Design",search engine optimization (seo) marketing search engine optimization digital marketing strategy social media user experience customer analysis media strategy  planning user research web development market analysis data analysis market research marketing management marketing psychology user experience design web development tools algorithms brand management communication critical thinking influencing audit writing web design beginner
Learn SQL Basics for Data Science,https://www.coursera.org/specializations/learn-sql-basics-data-science,"Learn SQL Basics for Data Science Specialization by University of California, Davis, by 4.6 stars, by 17K reviews, provide skills Databases, SQL, Data Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Database Application, Extract, Transform, Load, Critical Thinking, Data Analysis Software, Apache, Data Architecture, Distributed Computing Architecture, Statistical Tests, Python Programming, Data Science",learn sql basics for data science databases sql data management data analysis big data data model exploratory data analysis database administration problem solving database design business analysis database application extract transform load critical thinking data analysis software apache data architecture distributed computing architecture statistical tests python programming data science beginner
Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer,"Google Cloud Database Engineer Specialization by Google Cloud, by 4.7 stars, by 48K reviews, provide skills Databases, Cloud Computing, Google Cloud Platform etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.7,"Databases, Cloud Computing, Google Cloud Platform, Data Management, Cloud Platforms, Database Administration, Database Application, SQL, Cloud Infrastructure, Cloud Storage, Data Analysis, Google App Engine, Kubernetes, PostgreSQL",google cloud database engineer databases cloud computing google cloud platform data management cloud platforms database administration database application sql cloud infrastructure cloud storage data analysis google app engine kubernetes postgresql intermediate
Construction Management,https://www.coursera.org/specializations/construction-management,"Construction Management Specialization by Columbia University, by 4.7 stars, by 8.3K reviews, provide skills Project Management, Leadership and Management, Strategy and Operations etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Investment Management, Financial Management, Forecasting, Process Analysis, Risk Management, Computational Thinking, Computational Logic, Statistical Visualization, Collaboration, Innovation, Change Management, Business Transformation, Supply Chain and Logistics, Feature Engineering, Entrepreneurship",construction management project management leadership and management strategy and operations planning estimation operations management budget management accounting decision making finance cost accounting critical thinking financial accounting performance management strategy financial analysis investment management financial management forecasting process analysis risk management computational thinking computational logic statistical visualization collaboration innovation change management business transformation supply chain and logistics feature engineering entrepreneurship beginner
Foundations of Positive Psychology,https://www.coursera.org/specializations/positivepsychology,"Foundations of Positive Psychology Specialization by University of Pennsylvania, by 4.8 stars, by 7.5K reviews, provide skills Resilience etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,Resilience,foundations of positive psychology resilience beginner
Ciberseguridad de Google,https://www.coursera.org/professional-certificates/ciberseguridad-de-google,"Ciberseguridad de Google Professional Certificate by Google, by 4.9 stars, by 2K reviews, provide skills Computer Programming, Databases, Linux etc... Beginner level 3 - 6 Months",Beginner,Paid,4.9,"Computer Programming, Databases, Linux, Python Programming, SQL",ciberseguridad de google computer programming databases linux python programming sql beginner
Digital Product Management,https://www.coursera.org/specializations/uva-darden-digital-product-management,"Digital Product Management Specialization by University of Virginia, by 4.7 stars, by 9.2K reviews, provide skills Agile Software Development, Product Management, Leadership and Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Agile Software Development, Product Management, Leadership and Management, Design and Product, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, User Research, Data Analysis, Communication, Continuous Delivery, People Analysis, Planning, Product Strategy, Strategy",digital product management agile software development product management leadership and management design and product software engineering product development project management user experience customer analysis product design user research data analysis communication continuous delivery people analysis planning product strategy strategy beginner
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,"Introduction to Data Analytics Course by IBM, by 4.8 stars, by 14K reviews, provide skills Data Analysis, Data Management, Data Structures etc... Beginner level 1 - 3 Months",Beginner,Paid,4.8,"Data Analysis, Data Management, Data Structures, Data Visualization, Databases, Python Programming, SQL, Data Mining, Data Science, NoSQL, R Programming, Microsoft Excel",introduction to data analytics data analysis data management data structures data visualization databases python programming sql data mining data science nosql r programming microsoft excel beginner
Architecting with Google Kubernetes Engine,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,"Architecting with Google Kubernetes Engine Specialization by Google Cloud, by 4.7 stars, by 49K reviews, provide skills Cloud Computing, Kubernetes, Google Cloud Platform etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Cloud Computing, Kubernetes, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Cloud Management, Billing & Invoicing, Google App Engine, Cloud Storage, DevOps, Cloud API, Microarchitecture, Account Management",architecting with google kubernetes engine cloud computing kubernetes google cloud platform cloud platforms cloud engineering cloud infrastructure cloud management billing  invoicing google app engine cloud storage devops cloud api microarchitecture account management beginner
Arizona State University TESOL,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,"Arizona State University TESOL Professional Certificate by Arizona State University, by 4.9 stars, by 19K reviews, provide skills Human Learning, Strategy, Planning etc... Beginner level 3 - 6 Months",Beginner,Paid,4.9,"Human Learning, Strategy, Planning, Writing, Mergers & Acquisitions",arizona state university tesol human learning strategy planning writing mergers  acquisitions beginner
What is Data Science?,https://www.coursera.org/learn/what-is-datascience,"What is Data Science? Course by IBM, by 4.7 stars, by 68K reviews, provide skills Big Data, Data Analysis, Data Mining etc... Beginner level 1 - 4 Weeks",Beginner,Paid,4.7,"Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning, Regression, Writing",what is data science? big data data analysis data mining data science deep learning machine learning regression writing beginner
Preparing for Google Cloud Certification: Cloud Data Engineer,https://www.coursera.org/professional-certificates/gcp-data-engineering,"Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate by Google Cloud, by 4.6 stars, by 18K reviews, provide skills Cloud Computing, Google Cloud Platform, Cloud Platforms etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.6,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Data Management, Big Data, Data Analysis Software, Databases, Data Analysis, Computer Networking, Communication, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Leadership and Management, Network Security, Problem Solving, Apache, Python Programming, SQL, Cloud Storage, Feature Engineering, Statistical Programming, Data Warehousing, Tensorflow",preparing for google cloud certification cloud data engineer cloud computing google cloud platform cloud platforms data management big data data analysis software databases data analysis computer networking communication applied machine learning human learning machine learning machine learning algorithms machine learning software algorithms leadership and management network security problem solving apache python programming sql cloud storage feature engineering statistical programming data warehousing tensorflow intermediate
AWS Cloud Solutions Architect,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,"AWS Cloud Solutions Architect Professional Certificate by Amazon Web Services, by 4.8 stars, by 5.1K reviews, provide skills Amazon Web Services, Cloud Computing, Cloud Storage etc... Intermediate level 3 - 6 Months",Intermediate,Paid,4.8,"Amazon Web Services, Cloud Computing, Cloud Storage, Data Management, Big Data, Cloud Applications, Cloud Engineering, Cloud Platforms, Data Analysis, Data Warehousing, Extract, Transform, Load, Cloud Management, Data Architecture, Cloud Infrastructure, Data Visualization, Database Design, Other Cloud Platforms and Tools, Software Architecture, Machine Learning",aws cloud solutions architect amazon web services cloud computing cloud storage data management big data cloud applications cloud engineering cloud platforms data analysis data warehousing extract transform load cloud management data architecture cloud infrastructure data visualization database design other cloud platforms and tools software architecture machine learning intermediate
Medical Billing and Coding Fundamentals,https://www.coursera.org/specializations/medical-billing-coding-fundamentals,"Medical Billing and Coding Fundamentals Specialization by MedCerts, by 4.8 stars, by 375 reviews, provide skills Communication, Leadership and Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Communication, Leadership and Management",medical billing and coding fundamentals communication leadership and management beginner
